
  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
     1  1.0000e+00  1.9821e-03  4.7017e-04  4.9903e-01  3.0116e-01  4.2612e-02  5.5509e-02  0:16:39  999
     2  1.0000e+00  9.8812e-04  2.8338e-04  3.5307e-01  2.5658e-01  1.2253e-01  6.8063e-02  0:19:58  998
     3  6.3843e-01  4.9064e-04  1.6727e-04  2.2126e-01  2.0590e-01  2.0273e-01  7.3110e-02  0:19:17  997
     4  6.1410e-01  2.6892e-04  1.0217e-04  1.3788e-01  1.5624e-01  2.6976e-01  7.5623e-02  0:18:43  996
     5  3.8833e-01  1.5213e-04  6.5849e-05  8.9766e-02  1.1563e-01  3.2057e-01  7.6612e-02  0:18:17  995
     6  2.6751e-01  9.1228e-05  4.3410e-05  6.1892e-02  8.5803e-02  3.5120e-01  7.6851e-02  0:17:55  994
     7  1.7187e-01  5.6727e-05  2.8566e-05  4.8216e-02  6.4734e-02  3.5804e-01  7.6257e-02  0:17:38  993
     8  1.2770e-01  3.6441e-05  1.9191e-05  4.1280e-02  5.0368e-02  3.5368e-01  7.5182e-02  0:17:24  992
     9  1.0050e-01  2.4224e-05  1.3194e-05  3.5591e-02  4.0480e-02  3.4869e-01  7.4042e-02  0:17:13  991
    10  8.2944e-02  1.6652e-05  9.0750e-06  3.1409e-02  3.3495e-02  3.4764e-01  7.3373e-02  0:20:21  990
    11  6.8858e-02  1.1977e-05  6.3542e-06  2.8612e-02  2.8411e-02  3.4695e-01  7.3373e-02  0:19:34  989

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    12  5.7777e-02  8.8367e-06  4.6853e-06  2.6233e-02  2.4572e-02  3.3872e-01  7.3628e-02  0:22:13  988
    13  4.8853e-02  6.8424e-06  3.7441e-06  2.4134e-02  2.1586e-02  3.1890e-01  7.3719e-02  0:21:03  987
    14  4.3161e-02  5.9041e-06  3.6019e-06  2.1827e-02  1.9194e-02  2.9488e-01  7.3462e-02  0:23:24  986
    15  4.1173e-02  5.2634e-06  3.8768e-06  2.0119e-02  1.7213e-02  2.8282e-01  7.3140e-02  0:21:59  985
    16  3.7797e-02  4.9020e-06  3.4724e-06  1.9182e-02  1.5579e-02  2.9384e-01  7.2988e-02  0:20:51  984
    17  3.1504e-02  5.1097e-06  2.4490e-06  1.8233e-02  1.4223e-02  3.3122e-01  7.3870e-02  0:23:13  983
    18  3.4080e-02  5.4911e-06  3.5055e-06  1.7157e-02  1.3005e-02  3.8551e-01  7.5919e-02  0:21:50  982
    19  3.5924e-02  6.2015e-06  5.4803e-06  1.6594e-02  1.1951e-02  4.2824e-01  7.7469e-02  0:20:43  981
    20  3.0992e-02  5.9702e-06  5.7979e-06  1.6203e-02  1.1010e-02  4.4883e-01  7.8199e-02  0:23:05  980
    21  2.6963e-02  5.5460e-06  4.7817e-06  1.5815e-02  1.0163e-02  4.4697e-01  7.8197e-02  0:21:43  979
    22  2.2791e-02  5.1352e-06  3.0936e-06  1.5085e-02  9.4029e-03  4.2641e-01  7.7531e-02  0:20:37  978

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    23  1.9353e-02  4.7706e-06  2.0487e-06  1.4239e-02  8.7015e-03  3.9537e-01  7.6347e-02  0:22:59  977
    24  1.8759e-02  4.6673e-06  2.9426e-06  1.2892e-02  8.0846e-03  3.6682e-01  7.4914e-02  0:21:37  976
    25  1.8466e-02  4.6725e-06  3.6121e-06  1.1982e-02  7.5360e-03  3.5844e-01  7.3969e-02  0:20:32  975
    26  1.6030e-02  4.3151e-06  2.9545e-06  1.2120e-02  7.0828e-03  3.6708e-01  7.3921e-02  0:19:39  974
